Agente,1006,Conexão ,172,Tipo de ligação,Descrição,Ano,Tipo do agente,Tipo de ligação predominante
Minha Jampa,1,Coletivo Poluição Sonora,,Parceria em projeto,"Apoio a novos grupos locais engajados em causas importantes para a cidade, produzindo conteúdo de conscientização",2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Periferia Viva,1,Ministério das Cidades,1,Membro; Coleta de dados,Programa aprovado no PPA 2024-2027 de urbanização para periferia,2024,Programa/Projeto,Membro
Periferia Viva,1,União,1,Financiamento,"Estados, Municípios e DF podem propor. Valor da Seleção - 1ª Etapa: R$ 5,2 bilhões, sendo R$ 3,0 bilhões com recursos do Orçamento Geral da União e R$ 2,2 bilhões com recursos de Financiamento FGTS","2024, 2025, 2025, 2027",Programa/Projeto,Financiamento
Periferia Viva,1,FGTS,1,Financiamento,"Estados, Municípios e DF podem propor. Valor da Seleção - 1ª Etapa: R$ 5,2 bilhões, sendo R$ 3,0 bilhões com recursos do Orçamento Geral da União e R$ 2,2 bilhões com recursos de Financiamento FGTS","2024, 2025, 2025, 2027",Programa/Projeto,Financiamento
Periferia Viva,1,Instituto Brasileiro de Geografia e Estatística (IBGE),1,Coleta de dados,Base de dados que fornecem a justificativa do programa,2024,Programa/Projeto,Coleta de dados
De Olho Nas Metas,1,Rede Nossa São Paulo (RNSP),,Membro,,2017,Programa/Projeto,Membro
De Olho Nas Metas,1,Tribunal de Contas do Município de São Paulo,1,Parceria em projeto,Parceiro oficial no site,2017,Programa/Projeto,Parceria em projeto
Fogocruzado,1,Projeto ACLED,,Parceria em projeto,"No Brasil, o ACLED conta com a parceria do Fogo Cruzado para a obtenção de dados de tiroteios envolvendo a participação de agentes de segurança, bem como para dados de assassinatos de políticos e confrontos envolvendo grupos criminosos rivais",2025,Instituto ,Parceria em projeto
Fogocruzado,1,Ministério Público do Estado do Rio de Janeiro,1,Parceria em projeto,"O MPRJ, por meio do CAO Educação/MPRJ, tem uma parceria com o Fogo Cruzado para construção sistemática de indicadores sobre violência armada nas imediações de instituições escolares; Parceria oficial no site.",2025,Instituto ,Parceria em projeto
Fogocruzado,1,Centro de Estudos de Segurança e Cidadania (CESeC),,Parceria em projeto,Parceria oficial no site,2025,Instituto ,Parceria em projeto
Fogocruzado,1,Fundação Getulio Vargas (FGV),,Parceria em projeto,Parceria oficial no site. A diretoria de análise de Políticas públicas,2025,Instituto ,Parceria em projeto
Fogocruzado,1,Gajop,,Parceria em projeto,"Em Pernambuco, o Fogo Cruzado conta com a parceira e representação local do Gajop. As organizações atuam juntas, monitorando os efeitos da violência armada para a população da região metropolitana de Recife e cobrando por políticas públicas mais eficazes; Parceria oficial no site.",2025,Instituto ,Parceria em projeto
Fogocruzado,1,GENI UFF,,Parceria em projeto,"O Fogo Cruzado e o GENI/UFF atuam como parceiros na produção de análises sobre o impacto da violência armada em diversas esferas da vida da população fluminense, aliando a expertise do Fogo Cruzado em mapear episódios de disparos de arma de fogo e do GENI em documentar operações policiais; Parceria oficial no site.",2025,Instituto ,Parceria em projeto
Fogocruzado,1,Iniciativa Negra,,Parceria em projeto,Parceria oficial no site,2025,Instituto ,Parceria em projeto
Fogocruzado,1,Instituto de Segurança Pública,,Parceria em projeto; Coleta de dados,O ISP pontuou em seu Relatório de Atividades de 2018 a parceria com o Fogo Cruzado. Nós disponibilizamos dados georreferenciados para que a instituição compreenda melhor o fenômeno da violência armada no Rio de Janeiro; Parceria oficial no site.,2018,Instituto ,Coleta de dados
Fogocruzado,1,Instituto Sou da Paz,,Parceria em projeto; Coleta de dados,"O Instituto Sou da Paz produziu um relatório inédito sobre a apreensão de munições no estado do Rio de Janeiro, entre janeiro de 2014 e junho de 2017, com base em dados oficiais fornecidos pelo Instituto de Segurança Pública (ISP-RJ). Dados sobre tiroteios/disparos de armas de fogo – registrados entre 2016 e 2017 pelo Fogo Cruzado – possibilitaram cruzamentos de informações e análises adicionais; Parceria oficial no site","2014, 2016, 2015, 2017",Instituto ,Coleta de dados
Fogocruzado,1,Marco Zero Conteúdo,,Parceria em projeto,"parceria o projeto ""Laboratório-escola de jornalismo e visualização de dados em segurança pública e violência armada em Pernambuco""; Parceria oficial no site",2025,Instituto ,Parceria em projeto
Fogocruzado,1,Ministério Público do Estado do Rio de Janeiro,1,Parceria em projeto,"Os dados do Fogo Cruzado compõem uma das camadas do item “segurança pública”, do MP in Loco, que agrega um conjunto de plataformas de análise, diagnóstico e georreferenciamento focadas na construção e visualização de conhecimento instrumental para a atividade-fim do Ministério Público do Estado do Rio de Janeiro; Parceria oficial no site",2025,Instituto ,Parceria em projeto
Fogocruzado,1,Núcleo de Estudos da Violência USP,,Parceria em projeto,Parceria oficial no site,2025,Instituto ,Parceria em projeto
Fogocruzado,1,Pista News,,Parceria em projeto,Parceria oficial no site,2025,Instituto ,Parceria em projeto
Fogocruzado,1,Rede de Observatório da Segurança,,Parceria em projeto,"A parceria inclui a cessão dados com o objetivo de monitorar e difundir informações sobre segurança pública, violência e direitos humanos no Rio de Janeiro e em Pernambuco; Parceria oficial no site",2025,Instituto ,Parceria em projeto
Fogocruzado,1,Associação de Jornalismo Digital (Ajor),,Membro,Parceria oficial no site,2025,Instituto ,Membro
Fogocruzado,1,Fundação Ford,,Financiamento,"Na aba transparência, sem grandes detalhes",2025,Instituto ,Financiamento
Fogocruzado,1,Shuttleworth funded,,Financiamento,"Na aba transparência, sem grandes detalhes",2025,Instituto ,Financiamento
Fogocruzado,1,OAK Foundation,,Financiamento,"Na aba transparência, sem grandes detalhes",2025,Instituto ,Financiamento
Fogocruzado,1,Fundação Heinrich Boll Stiftung,,Financiamento,"Na aba transparência, sem grandes detalhes",2025,Instituto ,Financiamento
Open Knowledge Brasil,1,Instituto Hivos,,Financiamento,Na aba de prestação de contas,"2024, 2023, 2022, 2021, 2020",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Prefeitura do Município de Curvelo - MG,1,Financiamento,Na aba de prestação de contas,2024,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Dataprev,1,Financiamento,Na aba de prestação de contas,2024,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Jusbrasil,,Financiamento,"Na aba de prestação de contas; Apoio no curso ""Python para inovação cívica""","2024, 2023, 2021",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Google News Initiative,,Financiamento,Na aba de prestação de contas; Apoio no Coda.Br,"2024, 2023, 2022, 2021, 2020, 2018",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Internews,,Financiamento,Na aba de prestação de contas,"2024, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Centre for Investigative Journalism (CIJ),,Financiamento,Na aba de prestação de contas,"2024, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Associação Brasileira de Jornalismo Investigativo (Abraji),,Financiamento,Na aba de prestação de contas,"2024, 2023, 2022, 2021, 2020",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Instituto de Ensino e Pesquisa (Insper),,Financiamento,Na aba de prestação de contas,"2024, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Python Software Foundation (PSF),,Financiamento,Na aba de prestação de contas,"2023, 2022, 2021, 2019",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Global Impact,,Financiamento,Na aba de prestação de contas,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Agência Purpose,,Financiamento; Parceria em projeto,Na aba de prestação de contas; ofereceu treinamento e mentoria gratuitos a jornalistas e ativistas de 10 organizações da sociedade civil que investigaram responsáveis pelos ataques antidemocráticos às sedes dos três poderes em Brasília em 8 de janeiro.,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Tactical Tech,,Financiamento,Na aba de prestação de contas,"2022, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Núcleo Jornalismo,,Financiamento,Na aba de prestação de contas,"2023, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Consulado Geral dos Estados Unidos da América,,Financiamento,Na aba de prestação de contas; Apoio de mídia para divulgação do Coda.Br;,"2023, 2021, 2020",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Knight Center for Journalism in the Americas,,Financiamento; Parceria em projeto,Na aba de prestação de contas; Apoio de mídia para divulgação do Coda.Br;,"2021, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,International Center for Journalists (ICFJ),,Financiamento,Na aba de prestação de contas,2023,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Open Society Foundations (OSF),,Financiamento,Na aba de prestação de contas; Apoio nas alçies de litigância e estratégia especificado no relatório de atividades de 2020;,"2020, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,JG Comunicações Brasil (JeffreyGroup),,Financiamento,Na aba de prestação de contas,2022,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Transparência Brasil,,Financiamento; Parceria em projeto,"Na aba de prestação de contas; Parceiros no projeto do Guia de Fiscalização Cidadã ""Monitorando as Compras Públicas da Covid-19""; Parceiro na manifestação sobre a ocultação dos dados de declaração de bens de pessoas candidatas nas eleições de 2022","2020, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Earth Journalism Network (EJN),,Financiamento,"Na aba de prestação de contas; No projeto JORNALISMO DE DADOS AMBIENTAIS: NO RASTRO
DO DESMATAMENTO DA AMAZÔNIA",2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa (IDP)",,Financiamento,Na aba de prestação de contas,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,R Consortium,,Financiamento,Na aba de prestação de contas,"2021, 2020",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Instituto Brasileiro de Pesquisa e Análise de Dados (IBPAD),,Financiamento,Na aba de prestação de contas; Apoio no Coda.Br,"2021, 2020",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Banco Interamericano de Desenvolvimento (BID),,Financiamento,Na aba de prestação de contas; Apoio no Querido Diário,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Centro por la Justicia y el Derecho Internacional (CEJIL),,Financiamento,Na aba de prestação de contas; Apoio no projeto de Tecnologias de vigilância,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Instituto República,,Financiamento,Na aba de prestação de contas,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Embaixada do Reino dos Países Baixos,,Financiamento,Na aba de prestação de contas,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Instituto Galo da Manhã,,Financiamento,Na aba de prestação de contas e no relatório de atividades,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Instituto Betty e Jacob Lafer (IBJL),,Financiamento; Parceria em projeto,Na aba de prestação de contas; Parceria no projeto Parlametria,"2019, 2020, 2021",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Núcleo de Informação e Coordenação do Ponto BR (NIC.br),,Financiamento,Na aba de prestação de contas,2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Consulado Geral da Alemanha,,Financiamento,Na aba de prestação de contas,2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,The Intercept BR,,Financiamento; Parceria em projeto,Na aba de prestação de contas; Parceiros no projeto Perfil Político,"2019, 2018",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Fundação Mozilla,,Financiamento,Na aba de prestação de contas,2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Instituto Serrapilheira,,Financiamento,Na aba de prestação de contas,2018,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Volt Data Lab,,Financiamento,Na aba de prestação de contas,2018,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Fundação Getulio Vargas (FGV),,Parceria em projeto,"No projeto ""Índice de dados abertos para cidades 2018"". A Diretoria de Análise de Políticas Públicas ","2017, 2018",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Brasil.IO,,Parceria em projeto,Parceiros no projeto Perfil Político,2018,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal Superior Eleitoral (TSE),1,Coleta de dados; Parceria em projeto,Dados do projeto Perfil Político; e a OKBR foi convidada em 2021 a fazer parte da Comissão de Transparência das Eleições (CTE);,"2018, 2021",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Coleta de dados
Open Knowledge Brasil,1,Agência Pública,,Parceria em projeto,"Projeto ""Vitimas da Intolerância""´; desenvolvimento e realização do workshop online “Proteção de dados pessoais com criptografia de disco"" em 2020;","2018, 2020",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Rede pela Transparência e Participação Social (RETPS),,Membro,Indicada a relação com a rede por meio do relatório de atividades,"2018, 2021, 2022, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
Open Knowledge Brasil,1,Controladoria-Geral da União (CGU),1,Parceria em projeto,Integraram o primeiro Grupo de trabalho da Sociedade Civil para Assessoramento em Governo Aberto; a OKBR foi aprovada em 2021 para compor o Conselho de Transparência Pública e Combate à Corrupção (CTPCC),"2018, 2021, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Instituto de Manejo e Certificação Florestal e Agrícola (Imaflora),,Parceria em projeto,Participação na trilha educativa sobre os princípios de governo aberto do Imaflora,2018,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas da União (TCU),1,Parceria em projeto,Assinatura de termo de cooperação técnica,2018,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Receita Federal,1,Parceria em projeto,"Em parceria com Brasil.io, trabalharam para melhorar a transparência do órgão.",2018,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Coalizão Clima e Mobilidade ativa,,Membro,Indicada a relação com a rede por meio do relatório de atividades,2018,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
Open Knowledge Brasil,1,Jornal Correio 24 horas,,Parceria em projeto,"Em julho de 2019, o jornal Correio 24 horas lançou uma ferramenta com dados sobre homicídios de 2011 a 2019. Produzida em parceria com a Escola de Dados, a ferramenta de busca da série “Mil Vidas” contém informações de todos os crimes violentos letais intencionais  CVLIs) reportados pela Secretaria de Segurança Pública da Bahia (SSP-BA)",2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Instituto Brasileiro de Ciências Criminais (IBCCRIM),,Parceria em projeto,"Projeto 'Justa' projeto de pesquisa que se propõe a facilitar o entendimento do financiamento e da
gestão do Sistema de Justiça a partir da visualização de dados públicos",2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Dado Capital,,Parceria em projeto,"Desenvolvimento do projeto Parlametria - inteligência de dados para ação cidadã. Utilizando tecnologias livres, a plataforma Parlametria.org pretende que suas ferramentas e relatórios ajudem a sociedade civil a acompanhar e influenciar os debates que acontecem no Congresso Nacional.",2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Laboratório Analytics UFCG,,Parceria em projeto,"Desenvolvimento do projeto Parlametria - inteligência de dados para ação cidadã. Utilizando tecnologias livres, a plataforma Parlametria.org pretende que suas ferramentas e relatórios ajudem a sociedade civil a acompanhar e influenciar os debates que acontecem no Congresso Nacional.",2019,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Pacto pela Democracia,,Membro,"iniciativa da sociedade civil brasileira, voltada a defender a preservação e revigoramento da nossa vida política e democrática.","2019, 2020, 2021, 2022, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
Open Knowledge Brasil,1,Rede de Advocacy Colaborativo (RAC),,Membro,Integrante do Grupo de Trabalho de Transparência e Integridade.,"2020, 2021, 2022, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
Open Knowledge Brasil,1,Coalizão Direitos na Rede (CDR),,Membro,Faz parte da Articulação de mais de 30 organizações da sociedade civil que atuam em defesa de direitos digitais e internet aberta.,"2020, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
Open Knowledge Brasil,1,Instituto de Governo Aberto,,Parceria em projeto,"Parceiros no projeto do Guia de Fiscalização Cidadã ""Monitorando as Compras Públicas da Covid-19""",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Assembleia Legislativa de São Paulo,1,Parceria em projeto,"Parceiros no projeto do Guia de Fiscalização Cidadã ""Monitorando as Compras Públicas da Covid-19""",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,SESC São Paulo,1,Parceria em projeto,"desenvolvimento do curso “Construção, coleta e uso de dados para realizar ações sociais”, cuja realização presencial foi suspensa, em razão da pandemia.",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Fundação Oswaldo Cruz (Fiocruz),1,Parceria em projeto,"Desenvolvimento da PCDS - Plataforma de Ciência de Dados aplicada à Saúde, da Fiocruz: coleta de dados do Índice de Transparência da Covid-19;",2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Instituto de Matemática e Estatística da Universidade de São Paulo USP,1,Parceria em projeto,Categorização de dados no âmbito do projeto Querido Diário;,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Estúdio Café Design,,Parceria em projeto,Aprimoramento do site do Índice de Transparência da Covid-19;,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Escritório de advocacia Mattos Filho,,Parceria em projeto,Prestação de serviços jurídicos pro bono.,"2020, 2021, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Prefeitura de São Paulo,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR ao longo de 2020,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Agência Brasileira de Inteligência,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR ao longo de 2020,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Banco Nacional de Desenvolvimento Econômico e Social (BNDES),1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR ao longo de 2020,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Agência Nacional do Petróleo (ANP),1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR ao longo de 2020,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Ministério Público do Rio de Janeiro,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR ao longo de 2020,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Universidade Federal de Pernambuco (UFPE),1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR ao longo de 2020,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Fundação Joaquim Nabuco,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR ao longo de 2020,2020,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Fundação Lemann,,Financiamento; Parceria em projeto,"Patrocínio no curso ""Análise de dados educacionais""; Construção de tecnologias, metodologias e análises para o “Observatório de Gestão de Tecnologias da Educação” do Instituto,","2021, 2022, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Interdisciplinaridade e Evidências no Debate Educacional (IEDE),,Financiamento,"Patrocínio no curso ""Análise de dados educacionais""",2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Financiamento
Open Knowledge Brasil,1,Instituto Rui Barbosa (IRB),,Parceria em projeto,"Participação no curso ""Análise de dados educacionais"". Oferecido a 306 gestores públicos da área de educação com o objetivo de ampliar a capacidade de obtenção e análise de dados e subsidiar políticas educacionais nos níveis municipais e estaduais no Brasil",2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Conselho Nacional de Justiça (CNJ),1,Parceria em projeto,"CNJ instituiu um Grupo de Trabalho (GT) formado por profissionais do terceiro setor, da iniciativa privada e da gestão pública para estudar e propor soluções de integração de dados e aprimoramento da Plataforma Digital do Poder Judiciário (PDJ-Br).",2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Open Government Partnership (OGP),,Parceria em projeto,"Participou de processos de cocriação de Planos de Governo Aberto. É uma niciativa internacional destinada a difundir e incentivar práticas governamentais de transparência, acesso à informação pública, participação social, melhoria da prestação de serviços e fortalecimento da integridade.",2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Red Internacional de Justicia Abierta (RIJA),,Membro,"Rede de atores que se articulam pela realização de uma justiça transparente, aberta, participativa e centrada nas pessoas da América Latina.","2021, 2022, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Membro
Open Knowledge Brasil,1,Jurema Consultoria e Serviços,,Parceria em projeto,Apoio para o desenvolvimento da interface da plataforma Querido Diário,"2021, 2022, 2023",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,AI Inclusive,,Parceria em projeto,Apoio de mídia para divulgação do Coda.Br,"2021, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,UOL,,Parceria em projeto,Apoio de mídia para divulgação do Coda.Br,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Datopian,,Parceria em projeto,Disponibilização de instrutor para condução de workshop durante o Coda.Br,,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,"Escola Superior de Propaganda
e Marketing (ESPM)",,Parceria em projeto,Apoio de mídia para divulgação do Coda.Br,"2021, 2022",Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,SEADE,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,INEP,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Eletrobras,,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Agência Reguladora de Saneamento Básico do Estado da Bahia (AGERSA),1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,EMAP,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas do Estado do Acre,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas do Estado da Bahia,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas dos Municípios do Estado da Bahia (TCM BA),1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas de Santa Catarina,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas do Rio Grande do Sul,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas do Estado do Piauí,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Tribunal de Contas do Município do Rio de Janeiro,1,Parceria em projeto,Órgãos e entidades que contrataram cursos da OKBR,2021,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Data Privacy Brasil,,Parceria em projeto,"OKBR, junto com a Associação Data Privacy Brasil de Pesquisa, o Fórum de Direito de Acesso a Informações Públicas, o InternetLab e a Transparência Brasil se manifestaram publicamente sobre a ocultação dos dados de declaração de bens de pessoas candidatas nas eleições",2022,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,InternetLab,,Parceria em projeto,"OKBR, junto com a Associação Data Privacy Brasil de Pesquisa, o Fórum de Direito de Acesso a Informações Públicas, o InternetLab e a Transparência Brasil se manifestaram publicamente sobre a ocultação dos dados de declaração de bens de pessoas candidatas nas eleições",2022,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,Casa Preta,,Parceria em projeto,Participação no projeto global Vozes pela Ação Climática Justa (VAC),2022,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
Open Knowledge Brasil,1,InfoAmazonia,,Parceria em projeto,Participação no projeto global Vozes pela Ação Climática Justa (VAC),2022,Organização da Sociedade Civil (OSC) / Associação/ Coletivo,Parceria em projeto
